Arrondissement,Point Order,PolygonID,Latitude,Longitude
LaSalle,121,66023,-73.65539558,45.41787433
LaSalle,122,66023,-73.65353448,45.41690213
LaSalle,123,66023,-73.65103454,45.41506883
LaSalle,124,66023,-73.64825644,45.41329101
LaSalle,125,66023,-73.64617305,45.41215213
LaSalle,126,66023,-73.64358968,45.41092995
LaSalle,127,66023,-73.64131201,45.41020772
LaSalle,128,66023,-73.63872823,45.40976335
LaSalle,129,66023,-73.63625615,45.40965215
LaSalle,130,66023,-73.63417278,45.40970791
LaSalle,131,66023,-73.6317003,45.40995785
LaSalle,132,66023,-73.62922824,45.41026343
LaSalle,133,66023,-73.62642235,45.41040237
LaSalle,134,66023,-73.62286664,45.41031903
LaSalle,135,66023,-73.62128336,45.41037462
LaSalle,136,66023,-73.61853338,45.41059671
LaSalle,137,66023,-73.61628302,45.41084675
LaSalle,138,66023,-73.61461655,45.41109673
LaSalle,139,66023,-73.61136612,45.41173565
LaSalle,140,66023,-73.60656046,45.41295784
LaSalle,141,66023,-73.60325489,45.41404125
LaSalle,142,66023,-73.60125472,45.41476353
LaSalle,143,66023,-73.59894892,45.41556902
LaSalle,144,66023,-73.59741679,45.41599088
LaSalle,145,66023,-73.59667118,45.41618006
LaSalle,146,66023,-73.59639326,45.41623573
LaSalle,147,66023,-73.5937822,45.41676346
LaSalle,148,66023,-73.59150449,45.41706903
LaSalle,149,66023,-73.58880993,45.41723567
LaSalle,150,66023,-73.58642097,45.41726353
LaSalle,151,66023,-73.58161481,45.41709686
LaSalle,152,66023,-73.57650339,45.41709696
LaSalle,153,66023,-73.5733368,45.41718034
LaSalle,154,66023,-73.57083659,45.41734718
LaSalle,155,66023,-73.56833665,45.4175693
LaSalle,156,66023,-73.56491989,45.41804161
LaSalle,157,66023,-73.56169753,45.41859713
LaSalle,158,66023,-73.55964193,45.41906945
LaSalle,159,66023,-73.55530831,45.4202917
LaSalle,160,66023,-73.55394714,45.42076393
LaSalle,161,66023,-73.55136374,45.42168053
LaSalle,162,66023,-73.54844711,45.42293053
LaSalle,163,66023,-73.5458637,45.42429157
LaSalle,164,66023,-73.54353061,45.42565274
LaSalle,165,66023,-73.5408637,45.42729159
LaSalle,166,66023,-73.53985798,45.42800636
LaSalle,167,66023,-73.58388549,45.4350179
LaSalle,168,66023,-73.59939741,45.43748407
LaSalle,169,66023,-73.61180049,45.43944901
LaSalle,170,66023,-73.61059338,45.4426361
LaSalle,171,66023,-73.61045031,45.44297804
LaSalle,172,66023,-73.6102643,45.44331013
LaSalle,173,66023,-73.61003925,45.44362912
LaSalle,174,66023,-73.60977525,45.44393312
